kode_paket,nama_paket,LPSE,Nama_Peserta,Alasan,Skor_Teknis,Harga_Terkoreksi,Skor_Akhir
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,JASA PRIBHUNI,Bukan Pemenang,"82,77",190245000,"82,77"
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,PT. ARCI PRATAMA KONSULTAN,Pemenang,"96,75",185405000,"96,75"
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,PT. MARANNU MARAYA MAINDAN,Bukan Pemenang,"85,09",187000000,"85,09"
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,PT. Teraga Olahrakayasa,Tidak Memiliki Kontrak Pengalaman Sejenis,,0,
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,CV. MUTIARA KARYA CONSULTANT,Tidak Upload Dokumen Penawaran,,0,
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,PT. Celebes Sarana Jasa,Tidak ada penawaran administrasi dan teknis,,0,
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,PT. ASA DESAIN,Tidak Menghadiri Pembuktian,,0,
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,CV.KRIS MUDA,Tidak Menghadiri Pembuktian,,0,
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,PT. INTIMULYA MULTIKENCANA,Tidak Menghadiri Pembuktian,,0,
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,CV.MANGKU HARTA,Tidak Menghadiri Pembuktian,,0,
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,Maju Bersama Bangsa,Tidak Menghadiri Pembuktian,,0,
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,PT.BIOSFERA WIDHY ENGINEERING,Tidak Menghadiri Pembuktian,,0,
5642198,Perencanaan Teknis Pembangunan Turap Jalan RT. IV dan V Desa Kembang Janggut Seleksi Ulang,LPSE KABUPATEN KUTAI KARTANEGARA,DAFINAH,Tidak Menghadiri Pembuktian,,0,
5559198,Belanja Konsultan Perencanaan Sarana Fisik Puskesmas Wilayah Ulu Paket : Puskesmas Jantur (Muara Muntai),LPSE KABUPATEN KUTAI KARTANEGARA,PT GEOMAP INTERNATIONAL CONSULTANT,Pemenang,"85,39",223465000,"85,39"
5559198,Belanja Konsultan Perencanaan Sarana Fisik Puskesmas Wilayah Ulu Paket : Puskesmas Jantur (Muara Muntai),LPSE KABUPATEN KUTAI KARTANEGARA,PT. DWI ELTIS KONSULTAN,Bukan Pemenang,"70,88",246477000,"70,88"
